,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
2001,821210000.0,-185522000.0,1.43,386100000.0,270000000.0,0.0,0.065,0.0609,1.7,0.1714,-0.2259129820630533,-326277394.0,5.834305717619603,-1903602065.344224,-1082392065.344224,-1468492065.344224,-4.0088595012749035,-1.3567099319757225
2002,1036326000.0,215716000.0,2.14,577800000.0,270000000.0,2.69,0.065,0.0586,2.18,0.20030000000000003,0.2081545768416502,8139902.199999953,4.992511233150274,40638553.17024439,1076964553.1702445,499164553.17024446,3.9887576043342388,-0.4634920914535777
2003,1223659000.0,198339000.0,4.62,1247400000.0,270000000.0,6.32,0.065,0.0523,2.51,0.21544999999999997,0.16208682320809964,-65298331.549999975,4.6414481318171275,-303078818.9835228,920580181.0164772,-326819818.9835228,3.4095562259869525,0.3550150499901683
2004,1719219000.0,573278000.0,10.86,2932200000.0,270000000.0,5.12,0.065,0.0572,1.95,0.18395,0.3334525735232102,257027664.94999996,5.436259853220984,1397269176.134819,3116488176.134819,184288176.13481903,11.542548800499329,-0.059133282630765456
2005,2138455000.0,594953000.0,19.38,5232600000.0,270000000.0,8.8,0.065,0.0519,1.48,0.1481,0.2782162823159711,278247814.5,6.7521944632005395,1878783352.4645507,4017238352.464551,-1215361647.535449,14.878660564683521,0.30253660373172336
2006,2442510000.0,467197000.0,23.0,6210000000.0,270000000.0,13.33,0.065,0.0583,0.77,0.10835,0.1912774154455867,202551041.5,9.229349330872173,1869414319.335487,4311924319.335487,-1898075680.6645126,15.970090071612915,0.4401922529468296
2007,2828622000.0,648816000.0,19.37,5229900000.0,270000000.0,8.09,0.065,0.0615,0.93,0.12195,0.22937529298718598,303865547.09999996,8.200082000820007,2491722403.444034,5320344403.444035,90444403.44403458,19.704979272014942,-0.016999727195383518
2008,2601963000.0,33180999.999999996,7.19,1941300000.0,270000000.0,56.61,0.065,0.0637,1.22,0.14300000000000002,0.01275229509412701,-338899709.00000006,6.9930069930069925,-2369928034.965035,232034965.03496504,-1709265034.965035,0.8593887593887594,7.3664115005575495
2009,2925262000.0,314760000.0,9.3,2511000000.0,270000000.0,8.0,0.065,0.0549,0.77,0.10495,0.10760061833777625,7753753.100000014,9.528346831824678,73880448.7851359,2999142448.7851357,488142448.78513575,11.107934995500504,-0.1627606747998475
2010,3082596000.0,317978000.0,14.37,3879900000.0,270000000.0,12.24,0.065,0.0515,0.94,0.1126,0.10315266742706472,-29122309.60000002,8.880994671403197,-258635076.37655437,2823960923.6234455,-1055939076.3765545,10.459114531938686,0.3739212775726624
2011,2218075000.0,-713221000.0,11.77,3177900000.0,270000000.0,0.0,0.065,0.0502,0.65,0.09245,-0.3215495418324448,-918282033.75,10.816657652785288,-9932742387.777176,-7714667387.777176,-10892567387.777176,-28.572842176952502,-1.4119296192905144
2012,2159579000.0,57601000.0,19.21,5186700000.0,270000000.0,91.48,0.065,0.0289,1.52,0.1277,0.026672328263981082,-218177238.3,7.830853563038371,-1708514003.9154267,451064996.08457327,-4735635003.915426,1.6706110966095307,10.4987863057933
2013,2597032000.0,528756999.99999994,20.05,5413500000.0,270000000.0,10.21,0.065,0.0375,1.14,0.1116,0.20360049471858643,238928228.79999995,8.960573476702509,2140933949.8207881,4737965949.820788,-675534050.1792116,17.54802203637329,0.14257891621292967
2014,2532591000.0,22670000.0,34.21,9236700000.0,270000000.0,462.3,0.065,0.034675,0.78,0.085375,0.008951307179090505,-193549956.625,11.713030746705709,-2267056592.9721813,265534407.02781868,-8971165592.972181,0.9834607667696988,33.785322562858376
2015,2787805000.0,522621000.0,37.7,10179000000.0,270000000.0,19.51,0.065,0.029025,0.91,0.088175,0.1874668421930515,276806294.12499994,11.341083073433513,3139283176.920895,5927088176.920895,-4251911823.0791054,21.952178433040352,0.7173694225834787
2016,2810215000.0,610480000.0,30.46,7944303000.0,260810999.99999997,13.15,0.065,0.019275,0.9,0.07777500000000001,0.217236047775704,391915528.37499994,12.857602057216328,5039093903.889423,7849308903.889423,-94994096.11057663,30.095773966164863,0.012102231836423892
2017,3107901000.0,620752000.0,34.05,8880615000.0,260810999.99999997,14.34,0.065,0.026425,0.64,0.068025,0.19973351789519678,409337034.47499996,14.70047776552738,6017449973.9066515,9125350973.90665,244735973.90665054,34.988366955023565,-0.026819398465490227
2018,3389064000.0,561590000.0,25.48,6645464000.0,260810999.99999997,11.86,0.065,0.0264,0.53,0.06085,0.1657065195582025,355365455.6,16.433853738701725,5840023921.117502,9229087921.117502,2583623921.117502,35.386114546999565,-0.2799435505653592
2019,3270523000.0,383819000.0,33.95,8477553000.0,249707000.0,22.47,0.065,0.0131,1.31,0.09825,0.11735707102503178,62490115.249999985,10.178117048346056,636031707.3791348,3906554707.3791347,-4570998292.620865,15.644554247094133,1.1700842007886532
