,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
2002,1822500000.0,563700000.0,13.02,13660714000.0,1049210000.0,26.41,0.065,0.0586,-0.06,0.0547,0.30930041152263377,464009250.0000001,18.281535648994517,8482801645.338211,10305301645.338211,-3355412354.661789,9.821962853326037,0.32560061511442223
2003,1823200000.0,651000000.0,12.39,12649323000.0,1020930000.0,21.66,0.065,0.0523,0.05,0.05555,0.35706450197455025,549721240.0,18.001800180018,9895971917.19172,11719171917.19172,-930151082.808281,11.47891816010081,0.07937000919354843
2004,2052500000.0,731100000.0,11.29,11537590000.0,1021930000.0,16.94,0.065,0.0572,-0.26,0.0403,0.3561997563946407,648384250.0,24.813895781637715,16088939205.955334,18141439205.955334,6603849205.955334,17.752134887864464,-0.3640201546847216
2005,2197100000.0,791600000.0,16.34,17344910000.0,1061500000.0,21.69,0.065,0.0519,0.56,0.0883,0.3602931136498111,597596070.0,11.325028312570781,6767792412.23103,8964892412.23103,-8380017587.7689705,8.44549450045316,0.934759415108641
2006,4257600000.0000005,1026700000.0,19.95,23379206000.0,1171890000.0,22.09,0.065,0.0583,0.43,0.08625,0.24114524614806462,659482000.0,11.594202898550726,7646168115.94203,11903768115.94203,-11475437884.05797,10.157752106376904,0.9640172147414042
2007,5514700000.0,1311300000.0,26.73,32271129000.0,1207300000.0,24.78,0.065,0.0615,0.76,0.1109,0.23778265363483053,699719770.0,9.017132551848512,6309465915.238954,11824165915.238953,-20446963084.761047,9.793892085843579,1.7292520446122173
2008,6235300000.0,1651500000.0,24.2,29294584000.0,1210520000.0,18.12,0.065,0.0637,0.95,0.12545,0.264862957676455,869281614.9999999,7.971303308090873,6929307413.312076,13164607413.312077,-16129976586.687923,10.875167211869343,1.225253141265516
2009,7057300000.0,1860000000.0,26.1,31936743000.0,1223630000.0,17.44,0.065,0.0549,0.61,0.09455,0.26355688436087454,1192732285.0,10.576414595452142,12614831147.540985,19672131147.540985,-12264611852.459015,16.07686240737885,0.6234511025000001
2010,7817700000.0,2038000000.0,26.75,32932995000.000004,1231140000.0,16.39,0.065,0.0515,0.55,0.08725,0.26069048441357434,1355905675.0000002,11.461318051575931,15540466189.111752,23358166189.11175,-9574828810.888252,18.97279447431791,0.40991354943572095
2011,7845800000.0,2140300000.0000002,27.47,33417254999.999996,1216500000.0,15.82,0.065,0.0502,0.32,0.07100000000000001,0.2727956358816182,1583248200.0,14.08450704225352,22299270422.53521,30145070422.53521,-3272184577.4647865,24.780164753419818,0.10854791617997482
2012,8446299999.999999,2183400000.0,26.53,32683103000.0,1231930000.0,17.93,0.065,0.0289,0.25,0.045149999999999996,0.25850372352390993,1802049555.0000002,22.1483942414175,39912503986.710976,48358803986.710976,15675700986.710976,39.25450633291744,-0.32415402769304774
2013,9300500000.0,2254900000.0,32.81,41019062000.0,1250200000.0,18.05,0.065,0.0375,0.38,0.0622,0.24244933068114619,1676408900.0,16.077170418006432,26951911575.562702,36252411575.5627,-4766650424.437302,28.997289694099102,0.13148505760787638
2014,10525400000.0,2458400000.0,35.22,44370156000.0,1259800000.0,18.01,0.065,0.034675,0.53,0.06912499999999999,0.23356832044387862,1730831725.0000002,14.466546112115735,25039156962.025322,35564556962.02532,-8805599037.974678,28.230319861902938,0.24759479071753965
2015,11132000000.0,2137400000.0,26.96,34148074999.999996,1266620000.0,15.83,0.065,0.029025,1.04,0.096625,0.19200503054257995,1061770499.9999999,10.349288486416558,10988569210.86675,22120569210.866753,-12027505789.133244,17.464250691499227,0.5437249771685226
2016,8781900000.0,840100000.0,20.89,26713296000.0,1278760000.0,0.0,0.065,0.019275,0.71,0.065425,0.09566266980949453,265544192.50000006,15.284677111196027,4058757241.1157827,12840657241.115784,-13872638758.884216,10.041491164187013,1.0803683096893222
2017,9876100000.0,1482000000.0,25.54,32933830000.0,1289500000.0,21.44,0.065,0.026425,0.76,0.075825,0.15005923390812162,733144717.4999999,13.188262446422684,9668904945.598415,19545004945.598415,-13388825054.401585,15.157041446761083,0.685025411437247
2018,10849000000.0,1676000000.0,30.52,39932368000.0,1308400000.0,23.07,0.065,0.0264,0.86,0.0823,0.15448428426583094,783127299.9999999,12.150668286755772,9515520048.602673,20364520048.602673,-19567847951.397327,15.564445160961993,0.9608794071599046
2019,10669000000.0,1559000000.0,33.23,41826269000.0,1258690000.0,16.22,0.065,0.0131,0.57,0.05015,0.14612428531258786,1023949649.9999999,19.940179461615156,20417739780.658024,31086739780.658024,-10739529219.341976,24.697693459595314,0.34546977248556754
2020,9032000000.0,1209000000.0,37.28,47087995000.0,1263090000.0,40.43,0.065,0.0088,0.53,0.043250000000000004,0.13385739592559787,818365999.9999999,23.12138728323699,18921757225.43352,27953757225.43352,-19134237774.56648,22.1312473580137,0.6844961062034742
