,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
2001,3667400000.0,157500000.0,12.08,5393249000.0,446461000.0,37.25,0.065,0.0609,1.27,0.14345,0.0429459562632928,-368588530.0,6.971070059254096,-2569456465.66748,1097943534.33252,-4295305465.66748,2.4592148795359954,3.912136837053968
2002,3752100000.0,238800000.0,10.14,4578565000.0,451535000.0,20.11,0.065,0.0586,1.08,0.12880000000000003,0.06364435915887104,-244470480.00000006,7.7639751552795015,-1898062732.9192548,1854037267.0807452,-2724527732.919255,4.10607653245207,1.4695107165829147
2003,3007600000.0,-707900000.0,8.03,3660042000.0,455796000.0,0.0,0.065,0.0523,1.03,0.11925000000000001,-0.23537039499933501,-1066556300.0,8.385744234800837,-8943868343.815512,-5936268343.815512,-9596310343.815512,-13.02395884083123,-1.6165560025286057
2004,2835900000.0,337600000.0,9.89,4113152000.0,415890000.0,12.75,0.065,0.0572,0.94,0.1183,0.11904510032088579,2113030.0000000084,8.4530853761623,17861622.992392294,2853761622.992392,-1259390377.007608,6.861818324538681,0.44130892603673005
2005,2791100000.0,220700000.0,12.47,5166545000.0,414318000.0,24.54,0.065,0.0519,1.3,0.13640000000000002,0.07907276700942281,-160006040.00000006,7.331378299120233,-1173064809.3841646,1618035190.6158354,-3548509809.384165,3.9052978403444585,2.193098326887178
2006,3011300000.0,422600000.0,13.46,5582495000.0,414747000.0,13.45,0.065,0.0583,1.1,0.1298,0.14033805997409757,31733260.000000007,7.704160246533128,244478120.1848999,3255778120.1849,-2326716879.8151,7.8500341658526755,0.7146422188263135
2007,3243000000.0,500200000.0,17.84,6870719000.0,385130000.0,14.93,0.065,0.0615,1.2,0.1395,0.15423990132593277,47801499.99999992,7.168458781362006,342663082.43727535,3585663082.4372754,-3285055917.5627246,9.310266877255149,0.9161641911235509
2008,3044000000.0,259000000.0,9.19,3830631000.0,416826000.0,13.34,0.065,0.0637,1.41,0.15535,0.08508541392904073,-213885399.99999997,6.43707756678468,-1376796910.2027678,1667203089.7972322,-2163427910.202768,3.999757908089304,1.2976390599575287
2009,2447300000.0,-665900000.0,6.75,2993848000.0,443533000.0,0.0,0.065,0.0549,1.31,0.14005,-0.2720957790217791,-1008644365.0,7.140307033202427,-7202030453.409496,-4754730453.409496,-7748578453.409496,-10.720127822302954,-1.6296566712531915
2010,3389000000.0,348200000.0,7.33,4145115000.0,565500000.0,10.05,0.065,0.0515,1.39,0.14185,0.10274417232221894,-132529650.00000003,7.049700387733521,-934294324.991188,2454705675.008812,-1690409324.991188,4.340770424418766,0.6886403295519816
